int,loc
0.49190293264488344,1.0265707154018304
0.3077230222771529,4.158030061913598
2.739327801989003,5.335492907505164
2.532866089416804,5.095128521637867
2.5077188170867415,5.0518047315781756
2.5014589179418434,5.033941578401355
2.499488273561295,5.024333246156432
2.4988354889155215,5.01843050431795
2.4986549548757107,5.014497870008334
2.4986562868709163,5.011728177454912
2.4987275477528503,5.009696100832313
2.4988224834836656,5.008157283293818
2.498921372590998,5.006962080277599
2.4990159133549845,5.006014207366403
2.49910291703375,5.0052492126823465
2.4991815204301924,5.004622526134206
2.4992519027160967,5.004102473253275
2.4993146795905585,5.00366601345225
2.4993706147798718,5.003296045409224
2.499420484533794,5.002979650333832
2.4994650171922106,5.002706915897294
2.499504869767601,5.002470130392311
2.4995406225590373,5.002263219115835
2.4995727822022222,5.002081342881325
2.4996017882923445,5.001920607282418
2.499628021139869,5.001777849006089
2.4996518094740816,5.0016504766434355
2.4996734375593554,5.0015363506286405
2.499693151523547,5.00143369166114
2.4997111648651806,5.001341010122602
2.4997276631853116,5.001257051151339
2.4997428082231337,5.001180751518321
2.499756741283415,5.001111205487401
2.4997695861418934,5.001047637579125
2.4997814515064447,5.000989380684595
2.4997924331033565,5.000935858359161
2.4998026154473783,5.000886570406732
2.4998120733461846,5.000841081072982
2.499820873181487,5.000799009320057
2.499829074002275,5.000760020774316
2.4998367284599454,5.000723821024621
2.499843883610074,5.000690150018667
2.4998505816015433,5.000658777356076
2.4998568602703504,5.000629498317696
2.499862753652473,5.000602130502218
2.499868292427978,5.000576510966253
2.499873504306551,5.000552493783526
2.4998784143628217,5.000529947954001
2.4998830453289687,5.0005087556070915
2.4998874178503607,5.000488810452523
